13576,"TRADEHOME SHOE STORES","COTTAGE GROVE","MN",10626.75
8122887659,"SHOE SENSATION","JEFFERSONVILLE","IN",2235.96
6312181075,"J & H ORTHOTICS","BOHEMIA","NY",129.69
3176327818,"STOUT'S FACTORY SHOE STORE","INDIANAPOLIS","IN",126.86
3169453388,"BARNEY'S PHARMACY INC.","WICHITA","KS",125.36
3163715196,"FEET ON THE GO, LLC.","WICHITA2","KS",1242.74
6106833008,"SOLO LABS, INC.","KUTZTOWN","PA",124.28
3306730334,"DPM ORTHOTICS","KENT","OH",1320.6
2817767000,"TAILORED BRANDS, INC. (TBI)","HOUSTON","TX",117.75
3306309080,"ACCURATE MEDICAL SUPPLY","TALLMADGE","OH",117.4
2173453479,"MACK MOORE SHOES","CHARLESTON2","IL",13245.68
3193858781,"HY-VEE #1433","MOUNT PLEASANT","IA",13434.63
6163asd270204,"THE SHOE SMITH","PORTAGE","MI",114123123.58
8592380002,"THE MEDICINE SHOPPE","DANVILLE2","KY",1322.72
10299,"MG GRUNDMAN & SON","VINCENNES","IN",122.71
16984,"MICHELANGELO'S FOOT CMFRT SHOP","NORRIDGE","IL",110.38
4405855551,"TERRY'S SHOES","WILLOUGHBY","OH",12323.53
7855435131,"MIDWEST FAMILY HEALTH","PHILLIPSBURG","KS",109.38
2706518889,"GLASGOW PRESCRIPTION CENTER","GLASGOW","KY",1327.94
60876asd73447,"THE SHOE BOX2","BLACK EARTH","WI",102.54
217345347343,"MACK MOORE SHOES","CHARLESTON","IL",115.68
123123213213, "rRomania", "cluj", "im", 213123
2173427343,"MACK MOOR232E SHOES","CHARLESTON","IL",115.68
6163272424,"THE SHOE 232SMITH","PORTAGE","MI",114123123.58


