13576,"TRADEHOME SHOE STORES","COTTAGE GROVE","MN",10626.75
8122887659,"SHOE SENSATION","JEFFERSONVILLE","IN",2235.96
6312181075,"J & H ORTHOTICS","BOHEMIA","NY",129.69
3176327818,"STOUT'S FACTORY SHOE STORE","INDIANAPOLIS","IN",126.86
3169453388,"BARNEY'S PHARMACY INC.","WICHITA","KS",125.36
3163715196,"FEET ON THE GO, LLC.","WICHITA","KS",124.74
6106833008,"SOLO LABS, INC.","KUTZTOWN","PA",124.28
3306730334,"DPM ORTHOTICS","KENT","OH",120.6
2817767000,"TAILORED BRANDS, INC. (TBI)","HOUSTON","TX",117.75
3306309080,"ACCURATE MEDICAL SUPPLY","TALLMADGE","OH",117.4
2173453479,"MACK MOORE SHOES","CHARLESTON","IL",115.68
3193858781,"HY-VEE #1433","MOUNT PLEASANT","IA",114.63
6163270204,"THE SHOE SMITH","PORTAGE","MI",114123123.58
8592380002,"THE MEDICINE SHOPPE","DANVILLE","KY",1322.72
10299,"MG GRUNDMAN & SON","VINCENNES","IN",111.71
16984,"MICHELANGELO'S FOOT CMFRT SHOP","NORRIDGE","IL",110.38
4405855551,"TERRY'S SHOES","WILLOUGHBY","OH",12323.53
7855435131,"MIDWEST FAMILY HEALTH","PHILLIPSBURG","KS",109.38
2706518889,"GLASGOW PRESCRIPTION CENTER","GLASGOW","KY",1327.94
8124489290,"CLAY COUNTY PODIATRY LLC","BRAZIL","IN",103.31
8125373260,"RETAIL MEDICAL SOLUTIONS","LAWRENCEBERG","IN",103.21
6087673447,"THE SHOE BOX2","BLACK EARTH","WI",102.54
5734420194,"KILGORE'S MEDICAL PHARMACY","COLUMBIA","MO",100.94
7733744550,"200 PHARMACY, INC.","CHICAGO","IL",12323.24
6127252001,"MINNEAPOLIS VA MDCTR (618/121)","MINNEAPOLIS","MN",100.13
3163224549,"SUSAN B. ALLEN MEMORIAL","EL DORADO","KS",98.95
4028923410,"KOHLL'S RX","sdad","NE",97.07
5737784234,"POPLAR BLUFF asdasd (65784/121)","POPLAR BLUFF","MO",3233.01
5737783232,"andor nagy ","romania","MO",3233.01
